Feature,RF_Importance,XGB_Importance,Avg_Importance
zscore,0.44734289768877267,0.5774811,0.512411994355632
rsi,0.23957511491645017,0.1949847,0.21727990958625396
roc,0.11332762101349228,0.08245643,0.09789202664820847
macd_diff,0.08664093784237188,0.03579229,0.06121661450338504
macd,0.042802646217864115,0.018789748,0.030796196973880807
log_return,0.028422892447653555,0.014892665,0.0216577785928265
macd_signal,0.02192236708177934,0.020798298,0.021360332340368677
rolling_std,0.008094920035020783,0.024084909,0.016089914461382367
bb_width,0.0048422594857353675,0.011672287,0.008257273366905188
atr,0.003574955495803829,0.010046665,0.0068108100606050475
rolling_mean,0.003453387775056044,0.009000919,0.006227153301503499
