Feature,RF_Importance,XGB_Importance,Avg_Importance,Category
rolling_std,0.23139256655003462,0.20681238,0.21910247414720968,Z-score/Technical
rolling_mean,0.25222234743175304,0.15331654,0.2027694449689855,Z-score/Technical
atr,0.14355709580707376,0.10342964,0.12349336682820233,Z-score/Technical
sentiment_volatility,0.039881786402853926,0.09674119,0.06831148922284076,Sentiment
roc,0.01216370293810296,0.09727865,0.05472117503143513,Z-score/Technical
macd,0.015738021910652118,0.09274275,0.05424038523458669,Z-score/Technical
bb_width,0.07653817307254546,0.027830297,0.05218423509995576,Z-score/Technical
vix_percentile,0.05546739209692158,0.026198914,0.040833153185747456,Sentiment
sentiment_30d_mean,0.025744105049522424,0.020586085,0.023165094811991704,Sentiment
sentiment_volume_interaction,0.01507793459724696,0.030472971,0.02277545304810659,Sentiment
zscore,0.024233422458502043,0.016616102,0.02042476238326847,Z-score/Technical
sentiment_7d_mean,0.013902806717341629,0.023919862,0.018911334240528686,Sentiment
vix_sentiment,0.017516819241242154,0.017275069,0.01739594407508599,Sentiment
vix_zscore,0.018588364899230356,0.013222273,0.01590531916919964,Sentiment
macd_signal,0.017578489833265227,0.010959548,0.01426901888881608,Z-score/Technical
fear_spike,0.0005546396098856974,0.019477164,0.010015901991343739,Sentiment
put_call_ratio,0.008558093181970476,0.0038735992,0.00621584620474416,Sentiment
composite_sentiment,0.0034464736679417816,0.007421632,0.005434052749808775,Sentiment
macd_diff,0.003906757629349625,0.006949741,0.005428249278508025,Z-score/Technical
rsi,0.003965427950793384,0.0060473788,0.005006403355312287,Z-score/Technical
sentiment_momentum,0.00626958444260174,0.0026650974,0.00446734090108481,Sentiment
fii_sentiment,0.004469687168554403,0.0043415516,0.00440561936845677,Sentiment
advance_decline_ratio,0.0026941348768070353,0.0057756454,0.004234890126029403,Sentiment
vix_momentum,0.003849362052766844,0.0035997322,0.0037245471178434116,Sentiment
log_return,0.0025408090819318296,0.0024461409,0.0024934749715352653,Z-score/Technical
sentiment_price_divergence,0.00014200133110902263,0.0,7.100066555451132e-05,Sentiment
